Statut & inventaire des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type d'immobilisation :;Section analystique :;Statut :;Type de demande de modification du fichier des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables immatriculables (IMA);7500;Cmd en cours;Mise en service immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables dénombrable (DEN);7510;Cmd réceptionné - Attente de mise en service;Cession - Vente de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
Immo Analysables (VAL) ;7520;Mise en service;Mise au rebut de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;7540;Perdu;Transfert d'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Rebuté;-;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Vendu;-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°CAB;"Code Projet
(CAPEX)";"N° d'immo / 
Nom fond de dossier";Type d'immo;Fournisseur;Code article;Désignation;Description;N° de série;No CMD;Section analytique;Zone;Localisation;Qté;PU;Montant Cde dans la devise de transaction;Date OA;Date livr.;Date mise en service;Date sortie;Statut;BL;Facture;Type de demande de modification du fichier des immobilisations :;Decription du code projet;Propriétaire;Immatriculé ?;Colonne1
Z10015;22015209;Z10015_22015209_5016663;immo inventoriables immatriculables (IMA);MICRODATA;PG37YSAF;DELL LATITUDE 5420 XCTO BASE;;7B4KCK3;5016663;;HOUDA;QUALITE;1,00;;;;15/07/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;Immatriculé;
Z10016;21014155;Z10016_21014155_5001996;immo inventoriables immatriculables (IMA);MICRODATA;4DOPC-SAF;PRECISION 7820 TOWER XCTO ;;6CJ9DM3;5001996;;ABDELAZIZE;SUPPORT;1,00;;;;02/08/2022;;;;;;;#N/A;;Immatriculé;
Z10017;22016201;Z10017_22016201_5026592;immo inventoriables immatriculables (IMA);MAGEREB AGENCE;CABELECTR;Chaise Non ESD;;NA;5026592;;;;1,00;;;;13/10/2022;13/10/2022;;;;;;Système de vision conférence;;Immatriculé;
Z10018;22016202;Z10018_22016202_5026591;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;CRHX7T3;5026591;;MAGASIN;SC;1,00;;;;10/11/2022.;;;;;;;"6 PC AIO pour équipe approvisionnement.
";;Immatriculé;
Z10019;22016202;Z10019_22016202_5026591;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;DRHX7T3;5026591;;MAGASIN;SC;1,00;;;;11/10/2022;;;;;;;"6 PC AIO pour équipe approvisionnement.
";;Immatriculé;
Z10020;22016202;Z10020_22016202_5026591;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;FRHX7T3;5026591;;APPRO;SC;1,00;;;;11/10/2022;;;;;;;"6 PC AIO pour équipe approvisionnement.
";;Immatriculé;
Z10021;22016202;Z10021_22016202_5026591;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;GRHX7T3;5026591;;EXPIDITION;SC;1,00;;;;11/10/2022;;;;;;;"6 PC AIO pour équipe approvisionnement.
";;Immatriculé;
Z10022;22016202;Z10022_22016202_5026591;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;HRHX7T3;5026591;;BE;GE;1,00;;;;11/10/2022;;;;;;;"6 PC AIO pour équipe approvisionnement.
";;Immatriculé;
Z10023;22016202;Z10023_22016202_5026591;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;JRHX7T3;5026591;;BE;BE;1,00;;;;11/10/2022;;;;;;;"6 PC AIO pour équipe approvisionnement.
";;Immatriculé;
Z10024;22015465;Z10024_22015465_5020006;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;1CYH6R3;5020006;;DUCT;PRO;1,00;;;;17/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10025;22015465;Z10025_22015465_5020006;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;2CYH6R3;5020006;;CL;SC;1,00;;;;17/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10026;22015465;Z10026_22015465_5020006;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;3CYH6R3;5020006;;ORD;PRO;1,00;;;;17/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10027;22015465;Z10027_22015465_5020006;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;4CYH6R3;5020006;;EXPIDITION;SC;1,00;;;;17/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10028;22015465;Z10028_22015465_5020006;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;5CYH6R3;5020006;;DUCT;PRO;1,00;;;;17/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10029;22015465;Z10029_22015465_5020006;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;6CYH6R3;5020006;;DUCT;PRO;1,00;;;;17/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10030;22015465;Z10030_22015465_5020006;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;7CYH6R3;5020006;;DUCT;PRO;1,00;;;;17/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10031;22015465;Z10031_22015465_5020006;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;8CYH6R3;5020006;;;FINANCE;1,00;;;;17/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10032;22015465;Z10032_22015465_5020006;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;9CYH6R3;5020006;;ORD;PRO;1,00;;;;17/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10033;22015465;Z10033_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;2PPJVQ3;5016342;;QUALITE;QUALITE;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10034;22015465;Z10034_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;36SLVQ3;5016342;;QUALITE;QUALITE;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10035;22015465;Z10035_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;3PPJVQ3;5016342;;ELEC;PRO;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
