Statut & inventaire des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type d'immobilisation :;Section analystique :;Statut :;Type de demande de modification du fichier des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables immatriculables (IMA);7500;Cmd en cours;Mise en service immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables dénombrable (DEN);7510;Cmd réceptionné - Attente de mise en service;Cession - Vente de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
Immo Analysables (VAL) ;7520;Mise en service;Mise au rebut de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;7540;Perdu;Transfert d'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Rebuté;-;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Vendu;-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°CAB;"Code Projet
(CAPEX)";"N° d'immo / 
Nom fond de dossier";Type d'immo;Fournisseur;Code article;Désignation;Description;N° de série;No CMD;Section analytique;Zone;Localisation;Qté;PU;Montant Cde dans la devise de transaction;Date OA;Date livr.;Date mise en service;Date sortie;Statut;BL;Facture;Type de demande de modification du fichier des immobilisations :;Decription du code projet;Propriétaire;Immatriculé ?;Colonne1
Z20362;22015302;Z20362_22015302_5021935;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;FOURNITURE ET POSE DU POSTE DE TRAVAIL STANDARDS;;;5021935;;;;1,00;5500,00;;27/07/2022;06/09/2022;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20365;22015302;Z20365_22015302_5021935;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;FOURNITURE ET POSE DU POSTE DE TRAVAIL STANDARDS;;;5021935;;;;1,00;5500,00;;27/07/2022;06/09/2022;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20366;22015302;Z20366_22015302_5021935;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;FOURNITURE ET POSE DU POSTE DE TRAVAIL STANDARDS;;;5021935;;;;1,00;5500,00;;27/07/2022;06/09/2022;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20196;22014998;Z20196_22014998_;;;;;;;;;;;1,00;8766,00;;11/03/2022;31/05/2022;;;;;;;Laptop (X2);;;
Z20197;22014998;Z20197_22014998_;;;;;;;;;;;1,00;8766,00;;11/03/2022;31/05/2022;;;;;;;Laptop (X2);;;
Z20501;22015302;Z20501_22015302_5028857;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;TABLE EN PROFILE BOSH DE 40*40 AVEC BOIS DIM 2M*1M*0.8;;;5028857;;;;1,00;5500,00;;10/11/2022;17/11/2022;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20502;22015302;Z20502_22015302_5028857;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;TABLE EN PROFILE BOSH DE 40*40 AVEC BOIS DIM 2M*1M*0.8;;;5028857;;;;1,00;5500,00;;10/11/2022;17/11/2022;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20503;22015302;Z20503_22015302_5028857;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;TABLE EN PROFILE BOSH DE 40*40 AVEC BOIS DIM 2M*1M*0.8;;;5028857;;;;1,00;5500,00;;10/11/2022;17/11/2022;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20625;22015302;Z20625_22015302_5032504;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;TABLE STANDARD DIM /2M *90CM;;;5032504;;;;1,00;5500,00;;27/12/2022;23/01/2023;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20153;21014155;Z20153_21014155_5045167;immo inventoriables dénombrable (DEN);PICM;;Garde corp;;;5045167;;;;1,00;5400,00;;22/11/2021;15/03/2022;;;;;;;#N/A;;;
Z20869;22016877;Z20869_22016877_5040300;immo inventoriables immatriculables (IMA);BROD INVEST;;FOURNITURE CAISSON D'EXTRACTION 9/9;;;5040300;;;;1,00;5230,00;;07/04/2023;03/05/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20496;22016203;Z20496_22016203_5027121;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Fourniture et pose des portes en aluminium;;;5027121;;;Porte d'entrée Admin;1,00;5200,00;;18/10/2022;20/02/2023;;;;;;;"Sûreté : Elevation clôture site
Sûreté : Système intrusion issu de secours.
Sûreté : bareaudage site";;;
Z20623;22015302;Z20623_22015302_5032504;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;CHARIOT POUR LE MAGASIN BOSCH +BOIS;;;5032504;;;;1,00;5000,00;;27/12/2022;23/01/2023;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20626;22015302;Z20626_22015302_5032504;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;CHARIOT POUR LE MAGASIN BOSCH +BOIS;;;5032504;;;;1,00;5000,00;;27/12/2022;23/01/2023;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20627;22015302;Z20627_22015302_5032504;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;CHARIOT POUR LE MAGASIN BOSCH +BOIS;;;5032504;;;;1,00;5000,00;;27/12/2022;23/01/2023;;;;;;;Enveloppe transfert PLA > SAM;;;
Z20628;22015302;Z20628_22015302_5032504;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;CHARIOT POUR LE MAGASIN BOSCH +BOIS;;;5032504;;;;1,00;5000,00;;27/12/2022;23/01/2023;;;;;;;Enveloppe transfert PLA > SAM;;;
Z21067;23017791;Z21067_23017791_5046292;immo inventoriables immatriculables (IMA);TELEM;;TV et monitoring au niveau du poste de garde de l’administra;;;5046292;;;Poste de garde 1;1,00;5000,00;;12/07/2023;03/10/2023;;;;;;;Caméra MOBOTIX;;;
Z20017;20012031;Z20017_20012031_2462222;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;; ;2462222;7510; ; ;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20018;20012031;Z20018_20012031_2462222;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;; ;2462222;7510;DG;DG;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20019;20012031;Z20019_20012031_2464174;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;2T8TW93;2464174;;IT;IT;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20020;20012031;Z20020_20012031_2464174;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;3T8TW93;2464174;;ADNAN;SC;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20021;20012031;Z20021_20012031_5001996;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5001996;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20022;20012031;Z20022_20012031_5012580;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;C94KCK3;5012580;;NICOLAS;SUPPORT;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20023;20012031;Z20023_20012031_5012580;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;7B4KCK3;5012580;;HOUDA;QUALITE;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20024;20012031;Z20024_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20025;20012031;Z20025_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20026;20012031;Z20026_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20027;20012031;Z20027_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20028;20012031;Z20028_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20222;22015013;Z20222_22015013_;;;;;;;;;;;1,00;6596,00;;17/03/2022;20/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20223;22015013;Z20223_22015013_;;;;;;;;;;;4,00;227,00;;17/03/2022;31/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20224;22015013;Z20224_22015013_;;;;;;;;;;;1,00;1812,00;;17/03/2022;25/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20225;22015013;Z20225_22015013_;;;;;;;;;;;1,00;9740,00;;17/03/2022;20/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20226;22015013;Z20226_22015013_;;;;;;;;;;;1,00;227,00;;17/03/2022;31/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20227;22015013;Z20227_22015013_;;;;;;;;;;;1,00;5267,00;;17/03/2022;20/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20228;22015013;Z20228_22015013_;;;;;;;;;;;1,00;227,00;;17/03/2022;31/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20229;22015013;Z20229_22015013_;;;;;;;;;;;1,00;6596,00;;17/03/2022;20/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20230;22015013;Z20230_22015013_;;;;;;;;;;;1,00;6596,00;;17/03/2022;20/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20231;22015013;Z20231_22015013_;;;;;;;;;;;1,00;6596,00;;17/03/2022;20/05/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;;
Z20232;22015061;Z20232_22015061_5014310;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;extracteur de fumée purex 140w;;;5014310;7520;ILOT SOND;MACHINE LASER CHEVAL;1,00;974,17;;07/04/2022;03/06/2022;;;;;;;Extracteur de fumée Mahcine Lasser;;;
Z20233;22015061;Z20233_22015061_5014310;immo inventoriables dénombrable (DEN);RS COMPONENTS SAS;;filtre principal purex a utiliser avec modele 072065;;;5014310;7520;ILOT SOND;MACHINE LASER CHEVAL;2,00;183,60;;07/04/2022;03/06/2022;;;;;;;Extracteur de fumée Mahcine Lasser;;;
Z20234;22015061;Z20234_22015061_5014310;immo inventoriables dénombrable (DEN);RS COMPONENTS SAS;;préfiltre purex a utiliser avec modele 072065;;;5014310;7520;ILOT SOND;MACHINE LASER CHEVAL;2,00;44,50;;07/04/2022;03/06/2022;;;;;;;Extracteur de fumée Mahcine Lasser;;;
Z20235;22015061;Z20235_22015061_5014310;immo inventoriables immatriculables (IMA);RS COMPONENTS SAS;;extracteur de fumée purex 140w;;;5014310;;RETOURNER AU FOURNISSEUR;;1,00;974,17;;07/04/2022;03/06/2022;;;;;;;Extracteur de fumée Mahcine Lasser;;;
Z20236;22015209;Z20236_22015209_5015603;Immo Analysables (VAL) ;SAFRAN AEROSYSTEMS;;LICENCE CATIA VIA SAO PLAISIR;;;5015603;;;;2,00;3674,22;;27/04/2022;19/12/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20029;20012031;Z20029_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20030;20012031;Z20030_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20031;20012031;Z20031_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20032;20012031;Z20032_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20033;20012031;Z20033_20012031_5012894;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5012894;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20034;20012031;Z20034_20012031_5016342;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5016342;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20035;20012031;Z20035_20012031_5016342;immo inventoriables immatriculables (IMA);CHAFII INDUSTRIELLE;;Mobilier transfert;;;5016342;;;;1,00;4500,00;;21/12/2020;22/03/2021;;;;;;;#N/A;;;
Z20244;22015209;Z20244_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20245;22015209;Z20245_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20246;22015209;Z20246_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20247;22015209;Z20247_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20248;22015209;Z20248_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20249;22015209;Z20249_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20250;22015209;Z20250_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20251;22015209;Z20251_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20252;22015209;Z20252_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20253;22015209;Z20253_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20254;22015209;Z20254_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20255;22015209;Z20255_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20256;22015209;Z20256_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20257;22015209;Z20257_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20258;22015209;Z20258_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20259;22015209;Z20259_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20260;22015209;Z20260_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20261;22015209;Z20261_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20262;22015209;Z20262_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20263;22015209;Z20263_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20264;22015209;Z20264_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20265;22015209;Z20265_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20266;22015209;Z20266_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20267;22015209;Z20267_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20268;22015209;Z20268_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20269;22015209;Z20269_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20270;22015209;Z20270_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20271;22015209;Z20271_22015209_;;;;;;;;;;;1,00;10170,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20272;22015209;Z20272_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20273;22015209;Z20273_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20274;22015209;Z20274_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20275;22015209;Z20275_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20276;22015209;Z20276_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20277;22015209;Z20277_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20278;22015209;Z20278_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20279;22015209;Z20279_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20280;22015209;Z20280_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20281;22015209;Z20281_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20282;22015209;Z20282_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20283;22015209;Z20283_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20284;22015209;Z20284_22015209_;;;;;;;;;;;1,00;5717,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20285;22015209;Z20285_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20286;22015209;Z20286_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20287;22015209;Z20287_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20288;22015209;Z20288_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20289;22015209;Z20289_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20290;22015209;Z20290_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20291;22015209;Z20291_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
Z20292;22015209;Z20292_22015209_;;;;;;;;;;;1,00;1849,00;;10/05/2022;31/08/2022;;;;;;;"Visioconference Teams - 11KMAD
BE : Augmentation charge/capa (Maintenance licence) - 150KMAD
BE : Augmentation charge/capa (Invest licence) - 300KMAD";;;
